"income","height","weight","age","marital","sex","education","afqt"
105000,61,109,53,"married","female",17,NA
19000,64,195,55,"divorced","female",12,39.354
80000,74,225,55,"married","male",12,27.838
42000,63,213,52,"married","female",14,78.081
95000,72,200,49,"divorced","male",12,65.734
19000,60,155,49,"married","female",12,68.679
21000,64,NA,55,"married","female",12,71.472
35000,59,165,49,"divorced","female",12,79.95
88000,65,184,51,"married","female",16,75.485
19000,63,175,55,"married","female",12,64.195
49000,70,175,51,"married","male",14,97.365
5000,66,187,51,"married","female",16,80.238
100,74,265,48,"married","male",16,93.639
17000,62,200,52,"married","female",12,47.638
41000,64,230,48,"married","female",18,55.829
43000,64,110,53,"married","female",19,94.516
71353,68,200,54,"single","male",18,48.986
60000,69,200,52,"divorced","male",16,78.555
82000,67,225,51,"married","female",18,86.548
40000,64,130,49,"married","female",20,85.905
28000,66,180,50,"single","female",15,31.254
85000,67,160,51,"divorced","male",16,90.491
50000,69,226,52,"married","female",18,95.252
65000,71,200,53,"married","male",14,79.33
5000,66,143,49,"married","female",12,85.844
38000,72,220,55,"married","male",16,NA
0,60,110,52,"married","female",16,95.508
158000,66,140,54,"married","male",16,90.968
0,72,240,51,"single","male",11,11.35
0,67,188,53,"married","female",12,28.506
4000,66,125,50,"divorced","female",11,29.752
28000,71,155,52,"single","male",12,NA
32000,64,140,51,"divorced","female",12,40.756
8000,64,145,48,"divorced","female",12,20.137
20000,62,135,48,"married","female",12,NA
11000,72,225,49,"divorced","male",12,32.913
0,65,185,52,"married","female",12,51.719
106000,73,218,49,"married","male",16,76.189
55000,70,190,55,"married","male",19,51.896
120000,75,290,54,"married","male",19,93.653
343830,74,190,53,"married","male",16,77.991
110000,68,190,55,"married","male",12,47.109
30000,69,170,51,"separated","male",12,13.303
12000,63,105,50,"married","female",12,8.229
343830,69,205,49,"married","male",12,50.498
75000,71,210,49,"married","male",13,56.47
60000,73,195,51,"married","male",15,59.586
28000,64,140,51,"married","female",12,54.285
32000,71,310,48,"married","male",14,73.292
33200,67,165,52,"divorced","female",17,69.07
56000,68,200,49,"single","female",18,92.866
69000,69,205,55,"married","male",12,NA
49000,62,160,51,"married","female",14,39.163
75000,63,175,49,"married","female",16,64.295
55000,65,187,49,"married","female",19,78.966
103000,71,175,52,"divorced","male",14,71.792
0,66,175,51,"married","female",12,56.773
0,61,115,49,"married","female",10,19.412
0,71,229,53,"single","male",12,26.498
5443,64,240,52,"single","female",16,43.741
0,67,200,51,"married","female",14,70.767
70000,67,160,51,"married","male",14,51.831
0,62,117,49,"single","female",12,11.503
0,62,120,51,"single","male",11,5.25
13000,69,150,50,"single","male",11,3.292
0,68,168,49,"single","male",12,15.956
10000,61,150,49,"single","female",11,2.837
87000,72,210,54,"married","male",16,26.381
60000,69,207,52,"single","male",16,37.473
62000,71,202,49,"married","male",14,23.333
75000,63,NA,55,"divorced","female",13,61.184
136000,64,150,49,"divorced","female",11,30.237
0,64,130,55,"married","female",9,5.291
0,67,210,55,"married","male",10,5.935
7000,60,180,53,"married","female",14,55.185
54000,66,148,48,"married","male",12,0.982
0,66,215,51,"single","female",10,3.052
0,68,200,49,"single","male",12,1.356
32000,69,205,50,"divorced","male",10,23.134
0,66,225,51,"married","female",12,NA
0,71,218,53,"divorced","male",12,21.108
35000,67,187,52,"married","female",12,23.501
10000,60,126,48,"married","female",11,28.073
65000,69,235,55,"married","male",11,45.744
22000,66,215,50,"married","female",12,72.071
23000,69,175,51,"married","male",12,42.319
850,67,170,54,"married","female",12,81.039
45000,75,200,51,"married","male",16,99.154
114000,76,240,48,"married","male",18,91.427
3500,71,150,52,"separated","male",12,NA
17000,65,122,53,"married","female",17,99.324
47000,64,140,49,"married","female",18,83.317
120000,70,220,52,"married","male",16,95.07
52000,63,175,53,"single","male",14,62.344
60000,61,230,53,"single","female",17,76.633
80000,69,180,50,"married","male",18,64.432
90000,67,153,52,"single","male",12,35.041
15000,67,155,49,"married","female",14,49.801
48000,65,115,51,"married","female",12,54.083
120000,67,225,49,"married","male",16,100
60000,75,285,48,"married","male",13,75.727
60000,72,140,51,"married","male",17,69.447
17000,67,190,51,"married","female",18,86.676
5200,68,151,49,"married","female",12,72.569
84000,60,130,54,"divorced","female",16,91.677
54100,71,141,55,"married","male",15,73.326
0,61,150,49,"married","female",10,25.699
40000,66,196,51,"married","female",13,6.771
38000,74,220,51,"separated","male",12,NA
0,63,180,55,"separated","female",13,26.44
30000,73,185,49,"married","male",13,53.342
0,69,143,50,"single","male",11,2.826
30000,64,180,50,"married","female",15,62.762
54000,72,245,49,"married","male",12,56.187
70000,74,275,48,"married","male",13,72.782
37000,63,190,52,"married","female",16,88.693
42000,64,300,51,"divorced","female",14,45.803
65000,64,130,53,"married","female",19,73.742
0,66,150,54,"single","female",16,48.877
70000,68,170,50,"divorced","male",12,35.747
85000,61,140,55,"married","female",18,15.699
0,59,180,51,"married","female",11,16.768
38000,62,112,55,"divorced","female",12,47.764
70000,74,220,54,"married","male",12,0.742
34000,66,185,52,"separated","female",11,2.528
31000,64,200,48,"married","female",14,52.674
0,61,195,51,"divorced","female",14,12.509
70000,70,230,50,"married","male",17,30.312
0,74,175,54,"married","male",12,4.862
0,72,250,54,"divorced","female",10,22.311
0,69,186,55,"separated","female",12,88.779
0,65,187,48,"divorced","male",12,2.853
47500,74,360,51,"married","male",10,3.363
15000,73,260,49,"married","male",8,7.666
28000,70,165,54,"married","male",11,22.379
25000,65,190,52,"married","female",9,1.31
0,66,135,55,"married","female",12,57.954
38000,62,210,51,"divorced","female",12,34.526
80000,65,140,51,"married","male",12,52.167
46000,68,140,49,"divorced","male",12,60.396
56000,66,215,49,"married","female",12,77.715
7000,68,230,50,"divorced","male",11,8.596
0,63,130,50,"married","female",12,36.216
343830,72,190,54,"married","male",20,90.12
343830,74,187,51,"married","male",16,86.137
0,61,120,49,"single","female",12,1.79
60000,70,185,52,"married","male",13,43.472
12000,62,140,49,"divorced","female",12,43.275
100000,70,190,55,"married","male",17,85.54
43000,68,170,51,"divorced","female",16,77.736
97850,68,155,53,"divorced","male",18,90.095
18000,68,185,48,"married","female",14,92.083
0,63,133,52,"married","female",16,48.905
0,63,124,48,"married","female",19,87.226
0,73,220,55,"divorced","male",12,NA
75000,74,217,54,"married","male",12,39.786
43000,68,280,50,"married","female",12,70.5
60000,69,270,52,"widowed","female",17,47.912
0,61,NA,48,"married","female",16,59.991
300,63,150,52,"single","male",12,6.845
105000,69,190,48,"married","male",14,70.912
45000,59,110,48,"married","female",14,25.253
35000,70,175,52,"married","male",12,79.232
0,66,180,52,"married","female",18,89.419
40000,68,200,50,"married","male",16,79.303
0,68,230,49,"widowed","male",18,65.315
0,74,311,52,"married","male",12,NA
48000,69,220,51,"married","male",12,2.926
0,84,186,49,"single","male",11,3.663
15000,72,205,48,"married","male",12,2.25
30600,65,187,50,"married","female",13,47.975
35000,72,235,51,"married","male",12,18.326
9000,68,265,54,"married","male",12,8.563
0,71,245,51,"married","male",12,6.381
55000,64,230,51,"divorced","female",18,45.808
0,72,255,53,"married","male",12,29.001
0,69,240,50,"single","male",12,55.366
76000,72,235,49,"married","male",18,79.313
40000,68,188,52,"single","male",12,88.752
30000,62,NA,49,"divorced","female",14,41.58
44000,70,160,50,"divorced","male",13,72.907
40000,64,175,50,"divorced","female",14,36.055
50000,70,200,55,"married","male",12,14.729
12000,66,130,54,"widowed","female",15,18.419
0,68,94,52,"single","male",8,10.566
500,69,146,51,"divorced","male",9,31.226
22000,68,150,50,"divorced","female",15,40.97
40000,72,185,54,"married","female",14,46.092
0,62,110,55,"divorced","female",15,24.382
50000,74,250,51,"divorced","male",14,31.469
0,63,200,52,"divorced","female",12,11.809
2700,69,193,51,"divorced","male",10,26.594
45000,73,290,51,"single","male",12,38.582
49000,63,140,53,"married","female",14,80.637
12000,67,280,48,"separated","male",10,26.688
28000,72,180,53,"married","male",12,16.55
0,70,185,51,"single","male",12,15.84
42000,75,200,50,"married","male",12,30.429
65000,68,215,53,"married","male",12,6.818
23000,61,180,51,"divorced","female",12,36.158
24000,62,128,50,"married","female",12,24.725
25000,63,160,50,"widowed","female",12,26.792
23000,66,140,51,"married","female",15,78.513
83000,69,195,49,"married","male",18,97.319
34000,72,192,47,"divorced","male",12,20.133
343830,68,170,53,"married","male",12,69.855
0,72,190,52,"married","male",16,70.604
40000,70,200,55,"divorced","male",12,46.018
40000,68,225,53,"married","male",12,51.017
36500,67,140,49,"married","female",12,27.489
46700,73,172,51,"divorced","male",11,21.568
86000,70,190,49,"married","male",9,19.153
0,65,145,54,"married","female",12,28.461
0,65,190,50,"divorced","female",14,91.432
130000,73,210,54,"married","male",18,64.45
0,68,145,52,"married","female",18,80.579
13000,67,150,53,"widowed","female",14,2.203
41000,60,170,55,"married","female",12,31.508
49000,64,162,51,"married","female",14,65.278
36000,73,190,49,"single","male",12,70.368
0,69,180,52,"divorced","female",12,23.929
74115,69,235,49,"single","male",14,28.746
120000,67,144,55,"divorced","female",18,80.463
0,71,175,53,"married","male",12,26.159
32000,64,184,51,"married","female",12,54.906
33000,63,222,48,"divorced","female",12,20.084
67000,70,175,51,"married","female",18,31.118
28000,66,145,53,"separated","female",12,11.905
0,69,235,52,"divorced","female",12,13.144
0,65,210,53,"married","female",14,55.614
80000,65,250,52,"married","male",12,48.786
37000,70,210,50,"divorced","male",12,34.18
0,60,167,49,"divorced","female",16,31.809
7000,62,138,50,"married","female",12,75.744
0,70,150,52,"single","male",12,34.236
35000,62,100,51,"divorced","female",11,31.921
90000,72,217,52,"divorced","male",14,52.482
20000,62,110,54,"married","female",16,66.148
140000,69,175,51,"married","male",16,97.088
78000,74,165,50,"married","male",16,79.85
74000,72,225,48,"married","male",20,89.794
0,70,170,48,"divorced","female",14,60.353
38000,69,175,48,"single","male",12,49.537
50000,62,173,53,"married","female",12,42.361
0,67,115,49,"single","male",12,83.138
10000,63,170,52,"divorced","female",16,28.537
7500,73,200,54,"single","male",15,61.347
80000,68,190,52,"married","male",16,94.119
167000,72,310,51,"married","male",12,68.375
0,64,118,50,"married","female",12,35.662
67000,74,230,49,"married","male",12,34.051
69000,70,195,52,"divorced","male",14,32.078
23000,65,252,52,"married","female",16,25.324
30000,72,230,50,"married","male",12,17.362
0,68,150,50,"married","female",12,78
18000,69,215,48,"divorced","female",14,40.982
75000,74,235,50,"married","male",16,76.332
134000,61,139,53,"married","female",16,91.719
19000,63,200,53,"married","female",15,63.642
38500,66,158,52,"married","female",16,86.99
36000,71,160,53,"married","male",16,85.915
30000,64,230,54,"divorced","female",12,19.541
121000,78,270,48,"married","male",16,81.325
0,65,193,55,"married","male",14,35.569
123000,62,155,51,"married","female",17,49.039
0,65,120,54,"divorced","female",18,99.18
60000,70,180,54,"married","male",17,89.264
343830,70,150,52,"married","male",20,92.042
0,68,140,51,"divorced","female",14,16.956
100000,65,190,55,"divorced","female",20,38.888
0,61,160,52,"married","female",12,29.68
20000,72,240,50,"separated","male",12,38.997
32000,70,225,48,"married","male",12,3.311
25000,62,190,52,"divorced","female",12,13.045
16000,66,190,49,"married","female",12,25.338
0,60,120,52,"divorced","female",14,34.921
0,69,200,49,"single","male",12,13.781
0,64,180,53,"married","female",15,4.208
33500,64,NA,54,"widowed","female",12,57.519
21000,60,130,50,"separated","female",12,34.453
0,68,180,49,"married","male",12,36.845
0,68,275,51,"divorced","female",12,20.86
80000,68,170,54,"married","male",14,22.976
26000,66,195,54,"divorced","female",12,32.304
22000,62,215,52,"single","female",12,36.881
86000,68,195,50,"married","male",13,82.62
46200,72,170,52,"married","male",12,55.782
0,63,140,53,"divorced","female",12,28.681
30000,62,185,50,"married","female",12,50.954
0,64,140,53,"married","female",12,61.777
28000,67,160,52,"divorced","female",13,83.737
46000,63,117,50,"divorced","female",14,47.207
56000,72,195,51,"divorced","male",12,23.25
36000,67,145,51,"married","male",12,69.283
32000,62,160,50,"single","female",12,49.173
35000,61,160,53,"married","female",11,41.383
75000,70,195,53,"married","male",12,38.088
36000,62,120,49,"divorced","female",12,27.315
42000,71,210,51,"divorced","male",16,91.6
107000,71,225,48,"married","male",12,70.262
140000,71,240,52,"married","male",16,71.872
116000,68,185,49,"married","male",18,94.976
35000,70,180,50,"married","male",18,NA
58000,65,128,48,"married","female",20,79.765
0,64,178,55,"married","female",18,NA
111000,70,185,52,"married","male",16,80.898
35000,72,200,50,"married","male",18,64.498
42000,64,165,48,"single","female",16,75.516
34733,67,130,54,"married","female",18,98.089
100,70,250,50,"single","male",20,81.33
94000,66,135,51,"married","female",18,92.741
78500,63,185,52,"married","female",19,56.311
60000,72,180,55,"married","male",12,21.826
25000,69,155,54,"married","female",14,45.056
343830,73,230,53,"married","male",20,82.756
62000,71,210,52,"divorced","male",12,42.935
0,62,140,50,"divorced","female",14,49.165
35000,63,145,53,"married","female",12,45.436
31300,64,155,51,"married","female",19,98.804
0,63,130,49,"single","female",12,82.852
75000,65,130,48,"married","female",16,79.576
35000,70,205,55,"married","male",15,83.208
12000,67,130,50,"married","female",15,72.257
85000,74,240,50,"married","male",16,82.49
2000,71,175,50,"married","male",14,NA
40000,67,190,48,"divorced","female",17,93.511
14000,71,240,52,"married","male",18,93.432
44000,72,180,51,"married","male",12,82.465
37000,63,150,48,"married","female",12,61.363
35000,70,205,54,"separated","male",16,81.839
63000,64,150,55,"married","female",18,91.404
150000,75,180,48,"married","male",20,93.464
89100,69,140,51,"married","female",12,75.363
72000,67,175,48,"married","female",16,92.122
48000,70,180,53,"married","male",16,82.189
0,74,326,53,"single","male",12,25.522
3000,64,125,49,"divorced","female",12,47.309
25000,67,220,53,"married","male",12,39.872
343830,69,155,49,"single","male",16,86.877
91000,76,296,52,"separated","male",12,55.885
55000,66,146,51,"married","female",12,29.364
343830,72,218,51,"married","male",16,83.946
135000,71,210,55,"married","male",16,78.852
0,61,110,53,"married","female",15,73.214
0,64,144,51,"divorced","female",12,45.999
40000,73,275,48,"married","male",12,75.258
0,62,150,54,"divorced","female",16,16.307
0,78,297,55,"divorced","male",12,71.323
40000,64,153,53,"married","female",12,26.769
37000,68,145,55,"divorced","male",16,NA
14768,64,197,54,"married","female",12,34.62
43000,63,132,51,"married","female",16,58.404
74000,65,146,50,"married","male",14,84.974
52000,67,155,49,"married","male",12,21.712
0,65,135,53,"divorced","female",12,17.528
50000,74,220,54,"married","male",12,44.224
58000,69,150,51,"married","female",12,55.978
57200,68,165,53,"single","male",18,97.299
45000,70,250,53,"single","male",16,51.523
95000,69,182,54,"married","male",12,77.263
107000,63,160,49,"married","female",12,64.067
74000,63,186,48,"married","female",12,91.63
85000,69,187,49,"married","male",12,52.109
35000,64,130,48,"divorced","female",13,63.71
12213,62,135,54,"divorced","female",12,70.212
10000,69,200,52,"married","female",16,83.581
48464,73,210,54,"single","male",12,45.546
3000,73,204,49,"married","male",13,55.543
12000,74,185,53,"married","male",12,41.439
150000,75,190,53,"married","male",16,96.442
343830,72,200,51,"married","male",16,88.979
343830,71,270,50,"divorced","male",16,88.914
90000,62,130,51,"married","female",18,67.25
60000,66,133,50,"married","female",12,51.978
42000,64,118,48,"divorced","female",12,28.308
88000,60,125,50,"married","female",14,17.834
32000,70,240,51,"married","male",12,43.365
42500,65,168,54,"married","female",12,44.379
100000,70,185,53,"married","male",12,57.553
75000,69,153,50,"separated","female",14,53.275
45000,66,198,49,"single","female",12,57.315
6000,70,178,50,"single","male",12,65.073
71000,69,160,52,"married","female",18,66.668
80000,70,140,55,"single","female",18,62.466
69000,75,215,48,"married","male",12,90.864
39000,61,156,53,"married","female",16,20.867
11000,61,134,53,"divorced","female",12,41.411
55000,74,215,54,"married","male",12,40.748
50000,68,250,49,"widowed","female",14,55.097
31200,69,140,54,"married","male",16,37.731
30000,71,175,53,"divorced","male",14,52.705
0,60,160,53,"married","female",14,5.508
0,74,200,52,"married","male",12,60.136
8400,63,150,54,"married","female",12,24.577
0,75,210,51,"divorced","male",14,51.447
18000,66,200,55,"married","female",8,83.931
48000,70,190,48,"divorced","male",12,78.723
40000,65,155,49,"married","female",16,67.602
5000,71,233,51,"separated","male",14,67.877
0,68,175,50,"single","male",12,5.271
65000,75,270,48,"married","male",16,61.145
53000,64,160,52,"single","female",14,27.973
